BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,is_recent,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
107,22,53,-14,11,33,185,84,3,75,0,0,1,0,0,0,0,0
98,94,62,-5,7,76,176,3,3,76,0,0,0,1,0,0,0,0
77,70,41,-9,11,37,309,22,3,64,0,0,1,0,0,0,0,0
114,77,56,-9,21,43,338,7,4,46,0,0,1,0,0,0,0,0
97,55,62,-8,30,31,270,19,2,66,1,0,0,1,0,0,0,0
114,44,37,-15,67,45,198,82,8,15,1,0,0,0,1,0,0,0
102,56,78,-7,6,37,322,74,3,74,0,0,0,1,0,0,0,0
87,40,14,-9,12,4,295,58,4,51,0,0,1,0,0,0,0,0
123,69,69,-5,9,49,212,39,3,73,1,0,0,0,0,1,0,0
104,46,31,-9,14,32,213,42,3,69,0,0,0,0,0,1,0,0
123,92,45,-5,33,8,224,0,7,68,1,0,0,1,0,0,0,0
136,92,37,-7,42,63,296,1,5,63,0,0,1,0,0,0,0,0
104,6,49,-24,10,6,409,83,4,53,0,0,0,1,0,0,0,0
109,52,57,-11,13,33,252,5,3,17,1,0,0,0,1,0,0,0
92,90,50,-7,15,67,275,1,6,30,1,0,0,0,1,0,0,0
76,40,34,-9,11,7,291,76,4,47,0,0,0,0,0,1,0,0
149,20,28,-17,13,16,809,49,3,31,1,0,1,0,0,0,0,0
98,64,48,-12,8,73,202,6,3,49,0,0,1,0,0,0,0,0
114,71,67,-8,10,47,248,42,5,72,0,0,1,0,0,0,0,0
94,48,31,-9,8,19,331,14,3,61,0,1,0,0,0,0,0,0
99,51,60,-11,11,60,274,20,2,62,0,0,1,0,0,0,0,0
105,88,66,-5,14,86,238,2,4,66,1,0,1,0,0,0,0,0
174,72,43,-6,9,69,268,10,4,78,1,0,0,0,0,0,1,0
124,89,77,-9,6,97,261,7,4,16,1,0,0,0,0,0,1,0
140,57,34,-7,42,37,257,6,3,30,1,0,0,0,0,0,1,0
