Year,BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
1978,125,39,48,-11,12,52,269,37,3,68,0,0,0,1,0,0,0,0
1990,75,19,49,-16,22,21,248,72,4,31,1,0,0,0,0,0,0,0
1977,135,89,50,-5,73,70,283,9,5,72,0,0,0,0,0,1,0,0
1996,137,24,61,-16,11,16,331,24,3,53,0,0,0,0,0,0,1,0
1989,90,41,63,-13,31,70,291,6,3,41,0,0,0,0,0,0,0,1
1993,140,65,47,-10,14,40,340,1,3,72,0,0,0,0,0,0,1,0
2011,97,73,50,-6,20,24,231,2,3,47,0,0,0,0,0,0,0,1
1991,120,82,50,-6,9,54,219,0,4,72,0,0,0,0,0,1,0,0
1989,130,68,64,-12,5,71,225,1,4,61,0,0,0,0,0,0,1,0
2011,130,83,51,-5,7,56,224,1,5,69,0,0,0,0,0,1,0,0
1966,125,47,60,-8,6,49,211,10,3,67,1,0,0,0,0,0,0,0
2004,112,59,30,-10,63,40,364,57,5,59,0,1,0,0,0,0,0,0
1976,101,88,54,-7,76,75,231,38,4,72,0,1,0,0,0,0,0,0
1970,105,66,75,-6,9,86,152,19,4,67,1,0,0,0,0,0,0,0
1965,120,47,46,-10,44,64,149,51,3,62,1,0,0,0,0,0,0,0
2016,130,70,66,-7,9,51,382,5,3,61,1,0,0,0,0,0,0,0
1999,116,92,61,-4,30,96,295,16,3,70,1,0,0,0,0,0,0,0
2019,120,83,43,-6,14,35,455,2,5,50,0,0,0,0,0,1,0,0
1993,98,54,64,-13,28,94,181,49,3,65,0,0,0,0,1,0,0,0
1986,123,13,50,-18,36,21,401,35,8,51,1,0,0,0,0,0,0,0
1971,104,72,55,-12,11,72,435,25,3,74,1,0,0,0,0,0,0,0
2013,75,55,48,-7,10,24,253,37,7,76,0,0,0,1,0,0,0,0
2009,169,65,26,-7,12,34,288,0,4,43,0,0,0,1,0,0,0,0
1971,125,53,68,-13,6,35,266,42,9,60,1,0,0,0,0,0,0,0
2010,97,79,71,-4,20,90,221,32,11,48,0,0,0,0,0,0,0,1
1971,76,26,55,-12,9,17,188,91,3,78,1,0,0,0,0,0,0,0
1975,102,37,82,-13,8,29,217,17,8,69,1,0,0,0,0,0,0,0
1968,80,29,26,-10,16,25,198,14,3,59,0,0,0,0,1,0,0,0
1982,125,59,38,-10,27,28,859,2,3,41,1,0,0,0,0,0,0,0
1992,131,59,43,-12,36,46,345,22,3,45,0,0,0,1,0,0,0,0
1995,122,83,59,-6,38,58,325,10,4,45,1,0,0,0,0,0,0,0
2011,138,74,43,-7,33,9,285,2,4,67,0,1,0,0,0,0,0,0
1999,154,24,50,-12,13,31,272,84,3,61,1,0,0,0,0,0,0,0
1967,119,47,70,-9,32,76,130,69,4,70,1,0,0,0,0,0,0,0
1979,125,67,42,-7,6,34,351,61,5,66,1,0,0,0,0,0,0,0
1975,106,96,68,-6,35,61,715,18,9,27,0,1,0,0,0,0,0,0
1976,111,53,35,-9,8,47,256,58,3,56,0,1,0,0,0,0,0,0
2009,100,83,71,-5,6,97,243,39,4,66,0,0,0,0,0,0,1,0
2011,86,75,52,-7,20,70,273,36,5,44,1,0,0,0,0,0,0,0
1958,167,58,65,-10,7,92,146,41,8,73,0,0,0,0,1,0,0,0
1993,104,34,65,-12,7,32,222,37,2,69,0,1,0,0,0,0,0,0
1977,148,48,81,-10,5,62,180,1,6,78,0,1,0,0,0,0,0,0
1971,135,92,69,-6,8,23,511,30,6,65,1,0,0,0,0,0,0,0
1987,101,77,56,-9,9,66,277,1,4,76,1,0,0,0,0,0,0,0
1989,140,81,61,-8,22,82,210,34,3,60,0,0,0,0,0,0,1,0
1990,92,13,63,-15,11,24,334,47,3,67,1,0,0,0,0,0,0,0
1998,153,63,57,-9,27,79,300,13,4,76,0,0,0,0,0,0,1,0
1998,99,29,27,-10,11,15,244,86,3,58,0,0,0,0,0,0,1,0
1976,140,42,32,-11,10,29,204,55,3,49,0,0,0,0,1,0,0,0
1994,115,75,48,-9,26,42,261,43,8,73,0,0,0,0,0,1,0,0
1967,105,55,52,-11,17,52,196,83,3,63,1,0,0,0,0,0,0,0
1972,106,68,66,-8,8,65,258,16,3,75,0,0,0,0,1,0,0,0
1965,113,28,33,-11,18,37,165,72,3,53,1,0,0,0,0,0,0,0
2010,115,59,66,-12,31,67,204,60,3,44,0,0,0,0,1,0,0,0
1993,105,67,42,-6,41,30,316,62,9,59,1,0,0,0,0,0,0,0
1975,102,58,52,-10,11,34,211,3,3,52,1,0,0,0,0,0,0,0
1995,123,73,72,-6,8,62,333,21,4,56,0,1,0,0,0,0,0,0
2016,150,83,38,-7,7,45,220,0,6,49,0,0,0,0,0,0,0,1
1985,131,31,50,-16,12,25,291,48,3,66,0,0,0,0,0,0,1,0
1988,84,37,45,-16,8,26,274,48,3,49,0,0,0,1,0,0,0,0
2009,129,72,61,-8,36,80,218,29,3,64,1,0,0,0,0,0,0,0
1983,177,80,54,-9,8,89,220,7,3,56,0,0,0,1,0,0,0,0
1973,117,91,57,-7,6,84,207,9,4,71,1,0,0,0,0,0,0,0
1973,127,54,58,-13,12,42,349,14,4,37,1,0,0,0,0,0,0,0
1976,141,93,33,-9,30,38,308,0,7,75,1,0,0,0,0,0,0,0
2016,134,41,46,-8,10,9,227,50,3,63,0,0,0,0,0,0,0,1
1965,100,65,53,-9,11,42,179,29,4,53,1,0,0,0,0,0,0,0
2016,120,47,77,-6,39,34,237,29,5,80,0,0,0,1,0,0,0,0
1982,119,73,87,-8,8,63,379,14,8,68,0,1,0,0,0,0,0,0
1968,94,13,69,-14,6,37,138,75,3,74,0,1,0,0,0,0,0,0
2001,170,61,45,-7,9,48,209,2,3,36,0,0,0,0,0,0,0,1
2018,124,89,77,-9,6,97,261,7,4,16,0,0,0,0,0,0,0,1
2011,132,63,69,-7,6,74,319,1,4,42,1,0,0,0,0,0,0,0
1998,106,85,54,-6,60,60,299,7,3,59,1,0,0,0,0,0,0,0
2017,86,22,43,-9,11,40,230,95,4,71,0,0,0,0,0,0,1,0
2014,140,95,58,-9,47,30,456,0,4,65,0,0,0,0,0,1,0,0
1987,126,73,70,-12,3,95,255,15,3,57,1,0,0,0,0,0,0,0
2005,76,77,46,-5,14,35,234,1,3,51,0,0,0,1,0,0,0,0
1963,108,44,50,-10,13,71,169,67,3,57,0,0,0,0,1,0,0,0
1990,144,59,62,-11,5,65,253,4,3,60,0,0,0,0,0,1,0,0
2015,100,38,61,-10,28,52,234,84,44,83,0,0,0,1,0,0,0,0
